HS2,HS2 ID,HS4,HS4 ID,Section,Section ID,Trade Value,Trade Value Growth,Trade Value Growth Value,Year
Live animals,101,Horses,10101,Animal Products,1,351516.0,-0.4458712588159998,-282842.0,2022
Live animals,101,Bovine,10102,Animal Products,1,3.0,,,2022
Live animals,101,Poultry,10105,Animal Products,1,2061260.0,-0.076327572423633,-170332.0,2022
Live animals,101,Other Animals,10106,Animal Products,1,12842179.000000002,-0.116765884116925,-1697770.0,2022
Meat & edible offal,102,Bovine Meat,10201,Animal Products,1,54647.0,-0.1389291566872557,-8817.0,2022
Meat & edible offal,102,Frozen Bovine Meat,10202,Animal Products,1,142417.0,132.72488262910798,141352.0,2022
Meat & edible offal,102,Pig Meat,10203,Animal Products,1,91467.0,-0.1752522474594916,-19436.0,2022
Meat & edible offal,102,Sheep and Goat Meat,10204,Animal Products,1,397847.00000000006,1.3949806461710723,231730.0000000001,2022
Meat & edible offal,102,Horse Meat,10205,Animal Products,1,1895.0,,,2022
Meat & edible offal,102,Edible Offal,10206,Animal Products,1,17696.0,-0.9487357760318896,-327496.0,2022
Meat & edible offal,102,Poultry Meat,10207,Animal Products,1,5718932.0,-0.2485406219934369,-1891502.0,2022
Meat & edible offal,102,Other Meat,10208,Animal Products,1,1251.0,-0.139614855570839,-203.0,2022
Meat & edible offal,102,Preserved Meat,10210,Animal Products,1,583322.0,2.322011697505026,407729.0,2022
"Fish, crustaceans, & molluscs",103,Live Fish,10301,Animal Products,1,9059627.0,1.5618516106537823,5523268.0,2022
"Fish, crustaceans, & molluscs",103,Non-fillet Fresh Fish,10302,Animal Products,1,116848973.0,-0.2251099566035877,-33945290.0,2022
"Fish, crustaceans, & molluscs",103,Non-fillet Frozen Fish,10303,Animal Products,1,443187155.0,0.1784534792391787,67111932.0,2022
"Fish, crustaceans, & molluscs",103,Fish Fillets,10304,Animal Products,1,90472170.0,-0.3464516491431491,-47960082.0,2022
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,Animal Products,1,16698862.0,-0.1123312397452653,-2113180.0,2022
"Fish, crustaceans, & molluscs",103,Crustaceans,10306,Animal Products,1,127322176.0,-0.0197161191978957,-2560788.0,2022
"Fish, crustaceans, & molluscs",103,Molluscs,10307,Animal Products,1,903486362.0,-0.2462125521899729,-295109296.0,2022
"Fish, crustaceans, & molluscs",103,"Aquatic invertebrates, other than crustaceans and molluscs",10308,Animal Products,1,2189343.0,0.781976129004952,960739.0,2022
"Edible products of animal origin, n.e.s.",104,Milk,10401,Animal Products,1,6447405.0,1.0158024356317206,3248974.0,2022
"Edible products of animal origin, n.e.s.",104,Concentrated Milk,10402,Animal Products,1,5085055.0,1.4305473237023838,2992911.0,2022
"Edible products of animal origin, n.e.s.",104,Fermented Milk Products,10403,Animal Products,1,1829751.0,0.0210054421973687,37644.0,2022
"Edible products of animal origin, n.e.s.",104,Whey and other milk products,10404,Animal Products,1,107467.0,-0.2504324414809028,-35905.0,2022
"Edible products of animal origin, n.e.s.",104,Butter,10405,Animal Products,1,501159.0,2.355668342852551,351811.99999999994,2022
"Edible products of animal origin, n.e.s.",104,Cheese,10406,Animal Products,1,27226358.0,0.1608701593649195,3772953.0,2022
"Edible products of animal origin, n.e.s.",104,Eggs,10407,Animal Products,1,44219163.0,0.0347933986045563,1486804.0,2022
"Edible products of animal origin, n.e.s.",104,Processed Egg Products,10408,Animal Products,1,4123131.0,255.57317983820784,4107061.0,2022
"Edible products of animal origin, n.e.s.",104,Honey,10409,Animal Products,1,307608.0,2.0265951689870616,205973.0,2022
"Edible products of animal origin, n.e.s.",104,Other Edible Animal Products,10410,Animal Products,1,6871.000000000001,0.8490312163616794,3155.000000000001,2022
"Animal originated products, n.e.s.",105,Animal Organs,10504,Animal Products,1,85309594.0,-0.0728134748764404,-6699502.0,2022
"Animal originated products, n.e.s.",105,Bird Feathers and Skins,10505,Animal Products,1,93584.0,3.7286140164721338,73793.0,2022
"Animal originated products, n.e.s.",105,Processed Bones,10506,Animal Products,1,218833.0,,,2022
"Animal originated products, n.e.s.",105,Raw Bones,10507,Animal Products,1,118258.0,12.557033130803624,109535.0,2022
"Animal originated products, n.e.s.",105,Coral and Shells,10508,Animal Products,1,834085.0,1.2612692723738468,465228.0,2022
"Animal originated products, n.e.s.",105,Other Inedible Animal Products,10511,Animal Products,1,22980475.0,3.757197493103966,18149800.0,2022
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,Bulbs and Roots,20601,Vegetable Products,2,1895543.0,0.0371976436367139,67981.00000000023,2022
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,Vegetable Products,2,24959677.0,0.0444760915868412,1062838.0,2022
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,Cut Flowers,20603,Vegetable Products,2,8319264.000000001,-0.036358558686496,-313888.99999999907,2022
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,Plant foliage,20604,Vegetable Products,2,158753.0,0.4669605152514808,50534.0,2022
"Edible vegetables, roots, & tubers",207,Potatoes,20701,Vegetable Products,2,14690354.0,0.2394620003945258,2838152.0,2022
"Edible vegetables, roots, & tubers",207,Tomatoes,20702,Vegetable Products,2,1272120555.0,0.242356121203336,248162502.0,2022
"Edible vegetables, roots, & tubers",207,Onions,20703,Vegetable Products,2,43444267.0,-0.030555327449995,-1369293.0,2022
"Edible vegetables, roots, & tubers",207,Cabbages,20704,Vegetable Products,2,20387191.0,-0.2114231140097743,-5465952.0,2022
"Edible vegetables, roots, & tubers",207,Lettuce,20705,Vegetable Products,2,1633140.0,-0.3635585290849863,-932909.0,2022
"Edible vegetables, roots, & tubers",207,Root Vegetables,20706,Vegetable Products,2,23738116.0,0.1740255655206727,3518696.0,2022
"Edible vegetables, roots, & tubers",207,Cucumbers,20707,Vegetable Products,2,23025976.0,0.8519391373635022,10592535.0,2022
"Edible vegetables, roots, & tubers",207,Legumes,20708,Vegetable Products,2,264667771.0,-0.1018654148089214,-30018321.0,2022
"Edible vegetables, roots, & tubers",207,Other Vegetables,20709,Vegetable Products,2,341218036.0,0.1756342288072251,50976371.0,2022
"Edible vegetables, roots, & tubers",207,Frozen Vegetables,20710,Vegetable Products,2,5110035.0,-0.2192839217284782,-1435283.0,2022
"Edible vegetables, roots, & tubers",207,Preserved Vegetables,20711,Vegetable Products,2,34429076.0,-0.086156712855434,-3245957.0,2022
"Edible vegetables, roots, & tubers",207,Dried Vegetables,20712,Vegetable Products,2,3014050.0,-0.2771344685059859,-1155536.0,2022
"Edible vegetables, roots, & tubers",207,Dried Legumes,20713,Vegetable Products,2,6452203.0,-0.4705051428811524,-5733379.0,2022
"Edible vegetables, roots, & tubers",207,Cassava,20714,Vegetable Products,2,2443075.0,2.616343357041884,1767510.0,2022
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,Vegetable Products,2,58692.0,3.0617301038062283,44242.0,2022
"Edible fruits, nuts & fruit peels",208,Other Nuts,20802,Vegetable Products,2,5346752.0,0.1502309603959714,698336.0,2022
"Edible fruits, nuts & fruit peels",208,Bananas,20803,Vegetable Products,2,3275472.9999999995,0.6012417975706679,1229889.9999999995,2022
"Edible fruits, nuts & fruit peels",208,Tropical Fruits,20804,Vegetable Products,2,159896737.0,0.4482868002603092,49492681.0,2022
"Edible fruits, nuts & fruit peels",208,Citrus,20805,Vegetable Products,2,673146706.0,0.0672691435087776,42427913.0,2022
"Edible fruits, nuts & fruit peels",208,Grapes,20806,Vegetable Products,2,17153686.0,-0.1658366458063656,-3410255.0,2022
"Edible fruits, nuts & fruit peels",208,Melons,20807,Vegetable Products,2,308982297.0,0.1898907490240343,49309468.0,2022
"Edible fruits, nuts & fruit peels",208,Apples and Pears,20808,Vegetable Products,2,526239.0,-0.3247779900610374,-253118.0,2022
"Edible fruits, nuts & fruit peels",208,Pitted Fruits,20809,Vegetable Products,2,9260270.0,-0.3289895246435179,-4540215.0,2022
"Edible fruits, nuts & fruit peels",208,Other Fruits,20810,Vegetable Products,2,946842516.0,-0.0579740663667704,-58270488.0,2022
"Edible fruits, nuts & fruit peels",208,Frozen Fruits and Nuts,20811,Vegetable Products,2,216158690.0,0.2621951823371577,44902538.0,2022
"Edible fruits, nuts & fruit peels",208,Preserved Fruits and Nuts,20812,Vegetable Products,2,169998.0,-0.3433150618256829,-88875.0,2022
"Edible fruits, nuts & fruit peels",208,Dried Fruits,20813,Vegetable Products,2,11656666.0,-0.3504626212763159,-6289439.0,2022
"Edible fruits, nuts & fruit peels",208,Citrus and Melon Peels,20814,Vegetable Products,2,1289948.0,0.4538901017651388,402709.0,2022
"Coffee, tea, mate & spices",209,Coffee,20901,Vegetable Products,2,1288229.0,-0.2878569687226878,-520718.0,2022
"Coffee, tea, mate & spices",209,Tea,20902,Vegetable Products,2,22098213.0,0.1848073009762207,3446899.0,2022
"Coffee, tea, mate & spices",209,Mate,20903,Vegetable Products,2,51.0,-0.8354838709677419,-259.0,2022
"Coffee, tea, mate & spices",209,Pepper,20904,Vegetable Products,2,5321026.999999999,-0.2404666631361846,-1684626.000000001,2022
"Coffee, tea, mate & spices",209,Vanilla,20905,Vegetable Products,2,74208.0,-0.927008763905692,-942462.0,2022
"Coffee, tea, mate & spices",209,Cinnamon,20906,Vegetable Products,2,2298.0,-0.78660971306528,-8471.000000000002,2022
"Coffee, tea, mate & spices",209,Cloves,20907,Vegetable Products,2,54220.0,73.78620689655172,53495.0,2022
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,Vegetable Products,2,28647.0,-0.5439682893438187,-34171.00000000001,2022
"Coffee, tea, mate & spices",209,Spice Seeds,20909,Vegetable Products,2,14363264.0,-0.1193886120028136,-1947295.0,2022
"Coffee, tea, mate & spices",209,Spices,20910,Vegetable Products,2,12779489.0,-0.0072385149683033,-93179.0,2022
Cereals,210,Wheat,21001,Vegetable Products,2,129701.0,0.4919822389913956,42769.0,2022
Cereals,210,Barley,21003,Vegetable Products,2,5686.0,-0.5200472693508905,-6161.0,2022
Cereals,210,Corn,21005,Vegetable Products,2,201996.0,-0.204981167126501,-52081.0,2022
Cereals,210,Rice,21006,Vegetable Products,2,480166.0,-0.8648316398558139,-3072189.0,2022
Cereals,210,Sorghum,21007,Vegetable Products,2,14691.0,-0.5847301919326116,-20686.0,2022
Cereals,210,Buckwheat,21008,Vegetable Products,2,144.0,-0.9490626105412098,-2683.0,2022
Products of the milling industry,211,Wheat Flours,21101,Vegetable Products,2,757884.0,0.2462881076378896,149771.0,2022
Products of the milling industry,211,Cereal Flours,21102,Vegetable Products,2,1019356.0,0.2803197295060244,223183.0,2022
Products of the milling industry,211,Cereal Meal and Pellets,21103,Vegetable Products,2,3561998.0,-0.1527367664401746,-642124.0,2022
Products of the milling industry,211,Processed Cereals,21104,Vegetable Products,2,451148.0,-0.1733673405818611,-94618.0,2022
Products of the milling industry,211,Potato Flours,21105,Vegetable Products,2,421353.0,2.006035571346018,281184.0,2022
Products of the milling industry,211,Legume Flours,21106,Vegetable Products,2,131648.0,-0.1827775432672013,-29444.0,2022
Products of the milling industry,211,Malt,21107,Vegetable Products,2,40.0,7.0,35.0,2022
Products of the milling industry,211,Starches,21108,Vegetable Products,2,799780.0000000001,0.0769011186694459,57112.00000000012,2022
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,Soybeans,21201,Vegetable Products,2,8574.0,2.8656447249774573,6356.0,2022
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,Ground Nuts,21202,Vegetable Products,2,26553.0,,,2022
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,Linseed,21204,Vegetable Products,2,16029.0,0.088482955317126,1302.9999999999982,2022
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,Rapeseed,21205,Vegetable Products,2,354.0,,,2022
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,Sunflower Seeds,21206,Vegetable Products,2,76494.00000000001,70.89285714285715,75430.00000000001,2022
