"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,24007,1995
"Live animals",101,"Poultry",10105,"Animal Products",1,22090,1995
"Live animals",101,"Other Animals",10106,"Animal Products",1,131147.00000000003,1995
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,4422,1995
"Fish, crustaceans, & molluscs",103,"Live Fish",10301,"Animal Products",1,16714030,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,76017286,1995
"Fish, crustaceans, & molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,39466941,1995
"Fish, crustaceans, & molluscs",103,"Fish Fillets",10304,"Animal Products",1,7799731,1995
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,"Animal Products",1,1569973,1995
"Fish, crustaceans, & molluscs",103,"Crustaceans",10306,"Animal Products",1,43290820,1995
"Fish, crustaceans, & molluscs",103,"Molluscs",10307,"Animal Products",1,482783790,1995
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,660176,1995
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,1327,1995
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,3083270,1995
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,37891.99999999999,1995
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,1092,1995
"Animal originated products, n.e.s.",105,"Horsehair Waste",10503,"Animal Products",1,70422,1995
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,5991111,1995
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,76926.99999999999,1995
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,95424,1995
"Animal originated products, n.e.s.",105,"Coral and Shells",10508,"Animal Products",1,540629,1995
"Animal originated products, n.e.s.",105,"Pharmaceutical Animal Products",10510,"Animal Products",1,133545,1995
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,151970,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,96428,1995
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,1959775,1995
