HS4,Trade Value,Year
Orthopedic Appliances,4525791.0,2009
Sauces and Seasonings,58286.0,1998
Electrical Power Accessories,4737398.0,2000
Animal Meal and Pellets,160231577.0,2015
Padlocks,4515238.0,2004
Other Organo-Inorganic Compounds,1498.0000000000002,1996
Eyewear Frames,43135.0,2006
Epoxides,28.0,2022
Soap,5005292.0,2010
Safety Glass,8372956.999999999,2014
Electric Musical Instruments,3942.0,2009
Photographic Plates,176074.0,2007
Refined Petroleum,102394767.0,2022
Aluminium Gas Containers,4532.0,2007
Mechanical Wood Pulp,401417.0,2002
Wallpaper,18579.0,2011
Maps,22097.0,2009
Rare-Earth Metal Compounds,418.0,2016
Corn,49755.0,2006
"Fish: dried, salted, smoked or in brine",19786951.0,2021
Wheelchairs,4913.0,2020
Preserved Fruits and Nuts,131876.0,2005
Eggs,28787861.0,2022
Worked Slate,945.0,1996
Aluminium Cans,42318915.0,2017
Plastic Building Materials,1083646.0,2015
Other Floating Structures,91607.0,2015
Sulfuric Acid,132130.0,2021
Chlorates and Perchlorates,5278.0,2003
Knives,39633.0,2003
Electric Motors,14713620.0,2007
Synthetic Fabrics,8838848.0,2022
Vinegar,54133.0,2000
Heavy Pure Woven Cotton,21676826.0,2003
Unvulcanised Rubber Products,17212.0,2019
Horsehair Waste,70422.0,1995
Jams,32810.0,1995
Sand,2151625.0,2020
Photographic Plates,7678.0,2013
Other Small Iron Pipes,2861888.0,2002
Cereal Straws,4354.0,2002
Electrical Control Boards,143204770.0,2014
Non-Knit Gloves,598721.0,2022
Glycerol,294909.0,2004
Flavored Water,18385336.0,2014
Fork-Lifts,1060787.0,2015
Veneer Sheets,114788.0,2011
LCDs,7553.999999999999,1995
Rolling Machines,185097.0,2018
Alcohol > 80% ABV,858293.0,1998
Abrasive Powder,2171064.0,2001
Coconut and Other Vegetable Fibers,39485.0,2022
Used Clothing,8802092.0,2020
Tropical Fruits,896129.0,2002
Rolling Machines,75734.0,1998
Papermaking Machines,250680.0,1995
Densified Wood,24030.0,2007
Glass Balls,3818.0,2005
Electric Batteries,14394131.0,2019
Hot-Rolled Stainless Steel Bars,3012.0,2005
Compounded Unvulcanised Rubber,211217.0,2020
Stearic Acid,2984029.0,2016
Garments of Impregnated Fabric,2799751.0,2017
Synthetic Filament Yarn Woven Fabric,7275770.0,2016
Other Small Iron Pipes,1209556.0,1998
Nitrogenous Fertilizers,23785398.0,2008
Woven Fabrics,4163915.0,2001
Petroleum Coke,15375005.0,2011
Combustion Engines,1172453.0,2016
Video Cameras,70158.0,2001
Textile Fiber Machinery,2043132.0,2018
Light Rubberized Knitted Fabric,10451993.0,2018
Iron Pipe Fittings,1163968.0,2003
Leather Sheets,219.0,2021
Woven Fabrics,1140389.0,2019
Patent Leather,4102776.0,2014
Artificial Fibers Waste,3129327.0,2004
Magnesium Hydroxide and Peroxide,9640.0,2006
Iron Gas Containers,807996.0,2014
Other Women's Undergarments,92156333.0,2018
Copper Powder,18286.000000000004,2004
Artificial Filament Tow,226.0,2014
Non-Knit Babies' Garments,21524235.0,2012
Used Rubber Tires,252120.0,2000
Other Organic Compounds,244581.0,2010
Non-optical Microscopes,81400.0,2015
Debacked Cork,188712.0,2022
Other Vegetable Oils,445780.00000000006,2014
Letter Stock,16862.0,2009
Other Precious Metal Products,16049631.0,2000
Electric Generating Sets,2052453.0,2010
Vegetable Plaiting Materials,26022.0,2005
Raw Cork,10987501.0,1998
Photocopiers,22206.0,2004
Radio Receivers,107637.0,1999
Coke,6863.0,2014
Phosphatic Fertilizers,268893896.0,2007
Pitted Fruits,2768747.0,2001
Aluminium Wire,23650.0,2020
Iron Springs,93923.0,2000
Other Vegetable Residues,2667.0,2005
Artificial Textile Machinery,1222527.0,2008
Soldering and Welding Machinery,65866.0,2003
Calculators,5301344.0,2004
Barium Sulphate,31745124.0,2006
Metal Molds,13864681.0,2021
Gaskets,358128.0,1995
Integrated Circuits,39961436.0,1996
Non-Retail Artificial Staple Fibers Sewing Thread,424441.0,2019
Baked Goods,9765980.0,2017
Tensile Testing Machines,22739.0,2007
Other Cloth Articles,14509312.0,2008
Halides,13554.0,2021
Glues,269475.0,1997
Embroidery,3278682.0,2001
Other Knit Clothing Accessories,1996408.0,2001
LCDs,3809.0,1999
Scrap Vessels,327979.00000000006,2017
Felt Machinery,44.00000000000001,2010
Stainless Steel Ingots,108711.0,2018
Rice,96753.0,2017
Non-Retail Artificial Staple Fibers Yarn,927722.0,2008
Non-Knit Men's Coats,55270411.0,1998
Pepper,3940024.0,2013
Gold,41498980.0,2022
Mannequins,7383.000000000001,1998
Cotton Sewing Thread,443765.0,1999
Dried Vegetables,1643200.0,2004
Image Projectors,34876.0,2022
Footwear Parts,72543878.0,2010
Packaged Medicaments,99716393.0,2019
Prepared Explosives,917741.0,1998
Time Switches,573130.0000000001,2004
Insect Resins,268579.0,1997
Amino-resins,476682.0,2018
Plastic Pipes,24921884.0,2007
Artificial Vegetation,20986.0,2022
Kraft Paper,329276.0,1995
Electric Locomotives,9681.000000000002,2022
Raw Bones,6620.0,2019
Other Vegetables,161224397.0,2011
Nitrites and Nitrates,15849.0,2011
Coffee,80275.0,2001
Glass Working Machines,26448.0,1998
Tractors,6205858.0,2009
Natural Cork Articles,8914686.0,2009
Non-powered Aircraft,1947.0,2002
Steel Bars,3370393.0,2021
Other Knit Clothing Accessories,2398874.0,2003
Refractory Bricks,578939.0,2012
Hydrogen peroxide,139953.0,2021
Railway Track Fixtures,82153.0,2020
Paper Notebooks,1399405.9999999998,2007
Umbrellas,217156.0,2004
Rubber Thread,1008.0,2002
Cloves,6244.0,2010
Worked Slate,2278.0,2014
Other Sea Vessels,45017.0,2014
Rubber Pipes,27107990.0,2021
Pens,26597.0,2001
Bricks,51511.0,1995
Kaolin Coated Paper,3787386.0,2011
Gauze,1828.0,2001
Flat panel displays,1712322.0,1997
Iron Sheet Piling,85381.0,2014
Architectural Plans,839.0,2005
Other Carbon Paper,17144.0,2018
Pitted Fruits,9742133.0,2005
Hats,18099.0,2001
Confectionery Sugar,4869356.0,2004
Nitrogenous Fertilizers,9008057.0,2022
Other Paper Machinery,757378.0,2020
Embroidery,2893798.0,2007
Knit Women's Suits,313517235.0,2018
Honey,142701.0,2011
Hand Tools,372084.0,2012
Recovered Paper Pulp,156224.0,2013
Iron Blocks,478959.0,2016
Combustion Engines,2914632.0,2015
Wood Ornaments,718828.0,2009
Office Machine Parts,4581639.0,2020
Leather Used in Machinery,142.0,2008
Non-Knit Men's Coats,59469699.0,2017
Magnesium Carbonate,9721.0,2014
Other Clocks and Watches,14032.0,2022
Other Slag and Ash,153.0,2022
Kaolin,201240.0,2002
Photocopiers,471513.0,2014
Electrical Control Boards,89229894.0,2015
Interchangeable Tool Parts,1482485.0,2017
Scrap Rubber,979.0,2019
Stearic Acid,4408561.0,2010
Recreational Boats,54603.0,2000
Dental Products,1158233.0,2006
Knit T-shirts,299333174.0,2003
Other Fruits,132612259.0,2011
"Non-Iron and Steel Slag, Ash and Residues",318277.0,1995
Computers,9165569.0,2004
Packing Bags,4080558.0,2008
Other Knit Clothing Accessories,2097315.0,2020
Cucumbers,3414974.0,2005
Iron Toiletry,243552.0,2013
Agglomerated Cork,827.0000000000001,2009
Light Rubberized Knitted Fabric,14448288.0,2021
Hydrazine or Hydroxylamine Derivatives,898.0,2022
Other Inorganic Acids,5592689.0,2010
Nickel Sheets,6082.0,2019
Harvesting Machinery,422331.0,2010
Audio Alarms,245212.0,2001
Large Iron Containers,56812.99999999999,2003
Scrap Aluminium,38044445.0,2020
Wheat Flours,735003.0,2020
Oxygen Heterocyclic Compounds,452605.0,2010
Iron Oxides and Hydroxides,246518.0,2009
"Bicycles, delivery tricycles, other cycles",18754.0,2016
Electric Motor Parts,4235261.0,2017
Coffee and Tea Extracts,33514986.0,2009
Other Knit Clothing Accessories,5673782.0,2012
Copper Powder,249106.0,2022
Interchangeable Tool Parts,2589016.0,2005
Glass Beads,4480.0,2021
Fish Fillets,29668618.0,2009
Fork-Lifts,272511.0,2007
Woodworking machines,1154891.0,2012
Copper Fasteners,37574.0,2006
Stranded Copper Wire,18859.0,1999
Granulated Slag,1142.0,2012
Hydrochloric Acid,30348.000000000004,2018
Stranded Copper Wire,514252.0,2010
Processed Crustaceans,63182694.0,2013
Animal Organs,28792686.0,2014
Liquid Dispersing Machines,1139898.0,2007
Book-binding Machines,42637.0,1999
Essential Oils,18411656.0,2006
Knit Gloves,2307557.0,2004
Other Tin Products,11333.0,1999
Tissue,17948.0,2007
Letter Stock,287240.0,2008
Stranded Aluminium Wire,4601072.0,2012
Electric Furnaces,308794.0,2003
Scent Sprays,57537.0,2008
Plastic Building Materials,527126.0,2002
Liquid Pumps,9259786.0,2020
Combs,52021.0,2011
Sheet Music,2685.0,2008
Papermaking Machines,130898.0,2021
Glass with Edge Workings,36759.0,2005
Leather Apparel,32398373.0,2011
Synthetic Filament Yarn Woven Fabric,11152410.0,1995
Cast or Rolled Glass,24153.0,2016
Porcelain Tableware,390323.0,2000
Asbestos Cement Articles,1040.0,2004
Plastic Wash Basins,1191137.0,1995
Sausages,880898.0,2022
Rolling Machines,2090668.0,2022
Organo-Sulfur Compounds,30895.0,2016
Coconut and Other Vegetable Fibers,21373.0,2017
Polyamide Fabric,5655.0,2003
Copper Fasteners,88062.0,2010
Gravel and Crushed Stone,401403.0,2015
Raw Tin,3263.0,2006
Hypochlorites,26219.0,2005
Travel Kits,849.0000000000001,1998
Dental Products,982186.0,2008
Granite,33048.0,2017
Citrus and Melon Peels,681314.0,2012
Children's Picture Books,8846.0,2000
Microphones and Headphones,264932.0,2009
Artificial Textile Machinery,19360.0,2017
Wool,9217476.0,2015
Clays,12424147.0,2014
Glass Mirrors,368609.0,2012
Glass Mirrors,1824024.0,2020
Tanned Goat Hides,494622.0,2007
Iron Pipe Fittings,2111799.0,1996
Other Aluminium Products,7487345.0,2013
Iron Chains,277528.0,2011
Horse Meat,1903.0,2022
Other Articles of Twine and Rope,91430.0,2012
Rock Wool,41918.0,2009
Barley,5188.0,2022
Reclaimed Rubber,26.000000000000004,2015
Gas Turbines,21051606.0,2014
Felt or Coated Fabric Garments,13477412.0,2014
Large Construction Vehicles,6890887.0,2018
Asbestos Fibres,32629.0,2003
Letter Stock,41459.0,2020
Wood Carpentry,1697190.0,2010
Soybean Oil,12454699.0,2007
Synthetic Rubber,339287.0,2007
Medical Instruments,7240161.0,1998
Soups and Broths,1459383.9999999998,2000
Other Vegetable Residues and Waste,479117.0,1996
Liquid Fuel Furnaces,8899.999999999998,2011
Other Construction Vehicles,1538377.0,2006
Cellulose,317069.0,2011
Processed Tomatoes,5327060.0,2003
Other Pure Vegetable Oils,42787803.0,2021
Other Cloth Articles,122801713.0,2018
Clock Movements,626.0,2012
Non-Knit Babies' Garments,20477375.0,2009
Non-Knit Women's Coats,58877841.0,2003
Synthetic Rubber,407347.0,1996
Balances,20332.0,2014
Non-Knit Women's Coats,157309719.0,2013
Prepared Rubber Accelerators,344699.0,2020
Electric Heaters,884893.0,1999
Thermostats,27885835.0,2018
Alkaline Metals,1391.0,2011
Video Cameras,61776.99999999999,2011
Stainless Steel Wire,1638.9999999999998,2017
Metal Insulating Fittings,1128129.0,2010
Cocoa Beans,364.0,2002
Aluminium Bars,23459810.0,2011
Pharmaceutical Rubber Products,4864.0,1997
Plastic Lids,4583814.0,2000
Medical Furniture,890967.0,2015
Cassava,46952.0,2005
Other Processed Vegetables,114077291.0,1996
Processed Mica,60051.99999999999,2020
Sorghum,27972.0,2014
Railway Cargo Containers,1157997.0,2020
Pharmaceutical Animal Products,134.0,2008
Broadcasting Accessories,668157.0,2009
Vegetable Saps,43984350.0,2011
Other Steel Bars,75576.0,2007
Wool or Animal Hair Waste,59545.99999999999,2019
Sauces and Seasonings,326918.0,2003
Butter,910870.0,2008
Acrylic Polymers,1695039.0,2014
Kaolin,3080158.0,2013
Knit T-shirts,67205091.0,1995
Other Inorganic Acids Salts,60395.0,2013
Knit Babies' Garments,31052967.0,2000
Rubber Pipes,379155.0,2000
Silk Fabrics,3867.0,1996
Engine Parts,9951128.0,2006
Sawn Wood,333167.0,2017
Other Domestic Electric Housewares,52264.0,1995
Leather Waste,6620.0,2001
Fruit Pressing Machinery,7944.0,2016
Zinc Bars,7558.0,2022
Radioactive Chemicals,10048.0,2014
Sunflower Seeds,70798.0,1997
Inorganic Salts,1276909.0,2008
Motorcycles and cycles,8425.0,1998
Recovered Paper,5689.0,2004
Bladed Weapons and Accessories,4067.0,2014
Breathing Appliances,15502.0,2004
Forging Machines,118871.0,2000
Melons,74760815.0,2009
Aluminium Housewares,239548.0,2015
Spice Seeds,2465999.0,2001
Acrylic Polymers,810340.0,2002
Natural Polymers,10858.000000000002,2021
Electric Batteries,2086158.0,2005
Photocopiers,104823.0,2022
Metal-Clad Products,20675.0,2008
Sheep Hides,27451.0,2007
Iron Housewares,1414954.0,1995
Aluminium Gas Containers,111210.0,2022
Hard Liquor,543432.0,2015
Cotton Sewing Thread,393214.00000000006,2016
Binoculars and Telescopes,6891.0,2018
Hormones,6940.0,2000
Liquid Dispersing Machines,1047150.0,2012
Bedspreads,131651287.0,2014
Cobalt,49881111.0,2015
Coal Briquettes,778332.0,2005
Packaged Medicaments,45832460.0,2010
Vegetable or Animal Dyes,351760.99999999994,2010
Other Clocks,88423.0,2020
Cloves,21188.000000000004,1999
Tanned Goat Hides,38844.0,2021
Other Agricultural Machinery,46857.0,2019
Additive manufacturing machines,6675922.0,2015
Ornamental Trimmings,421411.0,2007
Revolution Counters,32941.0,2016
Knit Sweaters,188841648.0,2022
Plastic Floor Coverings,302298.0,2005
Other Vegetable Residues,643177.0,2021
Leather Footwear,169115041.0,2021
Jute and Other Textile Fibers,1814.0,1999
Lifting Machinery,331915.0,2002
Glass Working Machines,87127.0,2011
Cellulose Fibers Paper,723527.0,2007
Synthetic Monofilament,29588.0,2005
Mannequins,1130.0,2002
Corrugated Paper,44687.0,2006
Cobalt Oxides and Hydroxides,5048.0,2013
Hat Shapes,155.0,2011
Other Rubber Products,3670946.0,2005
Slate,55.0,2009
Electric Musical Instruments,1500.0,2020
Aircraft Launch Gear,213.0,2021
Paper Pulp Filter Blocks,160166.0,2011
Non-Knit Gloves,229895.0,1999
Eyewear,67617.0,2003
Perfume Plants,63982812.0,2019
Other Paints,95580.0,2022
Passenger and Cargo Ships,1786992.0,2018
Industrial Furnaces,26325.0,2003
Bird Skins and Feathers,8300.000000000002,1999
